State/UTs,Total Cases,Active,Discharged,Deaths,Active Ratio,Discharge Ratio,Death Ratio,Population
Andaman and Nicobar,7676,6,7541,129,0.08,98.24,1.68,399001
Andhra Pradesh,2071070,2392,2054252,14426,0.12,99.19,0.7,91702478
Arunachal Pradesh,55246,43,54923,280,0.08,99.42,0.51,1711947
Assam,615291,3103,606117,6071,0.5,98.51,0.99,35998752
Bihar,726185,38,716484,9663,0.01,98.66,1.33,128500364
Chandigarh,65400,28,64552,820,0.04,98.7,1.25,1158040
Chhattisgarh,1006518,295,992632,13591,0.03,98.62,1.35,32199722
Dadra and Nagar Haveli and Daman and Diu,10682,0,10678,4,0.0,99.96,0.04,773997
Delhi,1440637,325,1415217,25095,0.02,98.24,1.74,19301096
Goa,178645,246,175022,3377,0.14,97.97,1.89,1521992
Gujarat,827184,323,816770,10091,0.04,98.74,1.22,70400153
Haryana,771528,132,761343,10053,0.02,98.68,1.3,28900667
Himachal Pradesh,226344,1007,221508,3829,0.44,97.86,1.69,7503010
Jammu and Kashmir,335203,1696,329046,4461,0.51,98.16,1.33,14999397
Jharkhand,349124,130,343854,5140,0.04,98.49,1.47,40100376
Karnataka,2993352,7125,2948053,38174,0.24,98.49,1.28,69599762
Kerala,5095924,61647,4996978,37299,1.21,98.06,0.73,34698876
Ladakh,21311,224,20875,212,1.05,97.95,0.99,290492
Lakshadweep,10370,5,10314,51,0.05,99.46,0.49,66001
Madhya Pradesh,793010,78,782406,10526,0.01,98.66,1.33,85002417
Maharashtra,6629577,13903,6474952,140722,0.21,97.67,2.12,124904071
Manipur,124835,630,122245,1960,0.5,97.93,1.57,3436948
Meghalaya,84220,290,82463,1467,0.34,97.91,1.74,3772103
Mizoram,131685,5046,126163,476,3.83,95.81,0.36,1308967
Nagaland,32040,123,31222,695,0.38,97.45,2.17,2073074
Odisha,1046798,2177,1036230,8391,0.21,98.99,0.8,47099270
Puducherry,128631,317,126445,1869,0.25,98.3,1.45,1646050
Punjab,602956,290,586082,16584,0.05,97.2,2.75,30501026
Rajasthan,954588,103,945530,8955,0.01,99.05,0.94,79502477
Sikkim,32161,125,31633,403,0.39,98.36,1.25,658019
Tamil Nadu,2719515,8827,2674327,36361,0.32,98.34,1.34,83697770
Telengana,674452,3626,666846,3980,0.54,98.87,0.59,38157311
Tripura,84720,82,83820,818,0.1,98.94,0.97,4184959
Uttar Pradesh,1710322,100,1687313,22909,0.01,98.65,1.34,231502578
Uttarakhand,344095,187,336504,7404,0.05,97.79,2.15,11700099
West Bengal,1609118,8045,1581697,19376,0.5,98.3,1.2,100896618
